Country,birthRate,deathRate,lifeExpectancy,GDP,infantMortalityRate,unempRate,medianAge,GDP_Cap,Gini,ISO3
Albania,13.1,6.7,78.3,34210000000,12.3,17.3,32.5,11900,29,ALB
Algeria,23,4.3,76.8,6.09E+11,20.3,12.4,27.8,15000,35.3,DZA
Argentina,17,7.5,77.1,8.79E+11,10.1,8,31.5,20200,45.8,ARG
Armenia,13.3,9.4,74.6,26560000000,13.1,18.1,34.6,8900,30.3,ARM
Australia,12.1,7.2,82.2,1.19E+12,4.3,5.8,38.6,48800,30.3,AUS
Austria,9.5,9.5,81.5,4.16E+11,3.4,6.1,43.8,47900,29.2,AUT
Azerbaijan,16.2,7.1,72.5,1.68E+11,24.7,6.4,30.9,17700,33.7,AZE
Bangladesh,19,5.3,73.2,6.28E+11,32.9,4.9,26.3,3900,32.1,BGD
Belarus,10.5,13.3,72.7,1.65E+11,3.6,0.7,39.8,17500,26.5,BLR
Belgium,11.4,9.7,81,5.09E+11,3.4,8.4,41.4,44900,25.9,BEL
Bhutan,17.5,6.6,70.1,6432000000,33.9,2.6,27.2,8100,38.7,BTN
Bolivia,22.4,6.5,69.2,78350000000,36.4,7.5,24,7200,46.6,BOL
Bosnia and Herzegovina,8.8,9.9,76.7,42530000000,5.6,43.2,41.7,11000,36.2,BIH
Botswana,20.7,13.3,54.5,36510000000,8.6,20,23.2,16900,60.5,BWA
Brazil,14.3,6.6,73.8,3.14E+12,18,12.6,31.6,15200,51.9,BRA
Bulgaria,8.8,14.5,74.5,1.43E+11,8.5,8.9,42.4,20100,35.4,BGR
Burkina Faso,41.6,11.5,55.5,32990000000,73.8,77,17.2,1800,39.5,BFA
Cambodia,23.4,7.6,64.5,58940000000,48.7,0.3,24.9,3700,37.9,KHM
Cameroon,35.8,9.8,58.5,77240000000,52.2,30,18.5,3300,44.6,CMR
Canada,10.3,8.5,81.9,1.67E+12,4.6,7.1,42,46200,32.1,CAN
Central African Republic,34.7,13.5,52.3,3206000000,88.4,8,19.6,700,61.3,CAF
Chile,13.7,6.1,78.8,4.36E+11,6.7,7,34,24000,52.1,CHL
